,Net income
1990, $ 474.90 
1991, $ 309.84 
1992, $ 530.37 
1993, $ 86.59 
1994, $ 310.18 
1995, $ 424.00 
1996, $ (816.00)
1997," $ (1,045.00)"
1998, $ 309.00 
1999, $ 601.00 
2000, $ 786.00 
2001, $ (25.00)
2002, $ 65.00 
2003, $ 69.00 
2004, $ 276.00 
2005," $ 1,328.00 "
2006," $ 1,989.00 "
2007," $ 3,496.00 "
2008," $ 4,834.00 "
2009," $ 5,704.00 "
2010," $ 14,013.00 "
2011," $ 25,922.00 "
2012," $ 41,733.00 "
2013," $ 37,037.00 "
2014," $ 39,510.00 "
2015," $ 53,394.00 "
2016," $ 45,687.00 "
2017," $ 48,351.00 "
2018," $ 59,531.00 "
2019," $ 55,256.00 "
2020," $ 57,411.00 "
2021," $ 94,680.00 "
2022," $ 99,803.00 "
2023," $ 96,995.00 "
